RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM1,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHEKCRATE,Q12COM1,Q12COM2,Q12COM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,NETPRO,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q19AGE,Q20GENDER,Q21INCOME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,Hi,HOWLONG,Q17CITY,Q17STATE
436,184,153,8,MON,56,D,3,2,1,2,AMERICAN,DALLAS-FT. WORTH,2352,8,15,3,4,16:00:00,12/31/1899 05:40:00 PM,3,,,2,,,,1,2,1,1,1,1,3,6,4,4,4,4,4,4,4,5,4,4,3,3,3,4,43,,,,,4,2,2,5,4,4,4,,,4,11,,,2,,,,,5,5,5,5,2,,,,10,3,75230,US,11,3,2,1,2,2,2,1,1.0380333333,,100,DALLAS,TX
437,183,153,8,MON,56,D,3,2,1,1,AMERICAN,DALLAS-FT. WORTH,2352,8,15,3,4,15:00:00,12/31/1899 05:40:00 PM,6,,,9,,,,2,1,2,1,3,1,4,5,5,5,5,5,5,6,6,5,5,6,5,6,5,5,5,,,,,5,5,5,5,5,5,0,,,5,1,,,2,,,,,2,5,5,5,2,,,,10,3,76092,US,11,5,4,3,1,1,1,1,1.0380333333,,160,DALLAS,TX
438,182,153,8,MON,56,D,3,2,1,1,AMERICAN,DALLAS-FT. WORTH,2352,8,15,3,4,3:45 PM,12/31/1899 05:40:00 PM,3,,,5,,,,1,2,2,2,2,1,3,4,3,3,5,4,4,6,6,4,4,6,4,6,6,4,60,152,,,,5,5,6,5,4,5,0,,,5,5,,,2,,,,,7,5,5,5,2,,,,10,3,75010,US,11,2,2,1,2,2,2,1,1.0380333333,,115,DALLAS,TX
439,290,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,17:00:00,12/31/1899 08:07:00 PM,2,,,3,,,,0,0,1,0,5,1,4,4,4,3,4,4,3,2,2,2,3,2,2,2,1,4,54,,,,,5,4,3,5,4,5,1,,,5,0,,,4,,,,,11,5,4,6,1,13,,,8,3,93035,US,10,5,4,4,1,2,2,1,1.6329600946,,187,OXNARD,CA
440,289,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,17:00:00,12/31/1899 08:07:00 PM,1,,,3,,,,2,1,1,1,6,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,,,,,2,2,2,2,2,2,0,,,5,0,,,0,,,,,11,0,0,0,0,,,,11,0,,,99,8,4,0,4,4,4,1,1.6329600946,,187,,
441,288,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,5:50 PM,12/31/1899 08:07:00 PM,3,,,3,,,,0,0,1,0,6,1,4,6,3,3,3,3,3,6,6,6,6,6,6,6,6,3,0,,,,,3,6,6,3,3,3,0,,,0,0,,,2,,,,,11,3,4,6,2,,,,8,2,93436,US,10,5,2,4,1,2,2,1,1.6329600946,,137,LOMPOC,CA
442,287,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,6:30 PM,12/31/1899 08:07:00 PM,1,,,5,,,,2,2,1,2,3,1,2,4,3,3,4,4,4,4,4,4,4,6,6,6,6,4,0,,,,,5,6,6,6,5,5,0,,,5,3,,,2,,,,,5,5,5,5,2,,,,10,3,93103,US,10,3,2,4,3,2,2,1,1.6329600946,,97,SANTA BARBARA,CA
443,286,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,18:00:00,12/31/1899 08:07:00 PM,1,,,5,,,,2,2,1,1,4,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,,,,3,3,3,4,3,3,0,,,4,0,,,2,,,,,5,4,5,5,2,,,,6,3,93101,US,10,4,1,4,2,2,4,1,1.6329600946,,127,SANTA BARBARA,CA
444,285,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,17:00:00,12/31/1899 08:07:00 PM,1,,,5,,,,2,2,1,2,4,1,3,6,3,2,4,3,4,6,6,6,6,6,6,6,6,3,102,,,,,4,4,4,4,4,4,0,,,5,0,,,1,5,0,,,5,3,4,4,2,,,,7,3,19203,US,12,3,1,4,2,2,2,1,1.6329600946,,187,PHILADELPHIA,PA
445,284,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,18:00:00,12/31/1899 08:07:00 PM,1,,,6,,,,0,0,1,1,1,1,2,5,4,4,5,5,4,6,6,5,6,6,4,6,6,4,201,1,,,,3,4,6,3,3,4,0,,,4,4,,,2,,,,,5,3,5,4,2,,,,8,1,94108,US,1,3,2,2,2,2,1,1,1.6329600946,,127,SAN FRANCISCO,CA
446,283,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,5:45 PM,12/31/1899 08:07:00 PM,1,,,3,,,,2,2,1,2,3,1,4,4,2,3,4,4,4,3,3,5,3,3,4,6,4,4,0,,,,,2,4,4,2,2,2,0,,,3,11,,,0,,,,,11,4,5,6,2,,,,8,3,,US,10,5,1,4,2,1,1,1,1.6329600946,,142,SANTA BARBARA,CA
447,282,180,9,TUE,79,F,3,2,1,2,UNITED,SANTA BARBARA,5647,28,59,1,1,18:00:00,12/31/1899 08:07:00 PM,1,,,6,,,,2,2,1,1,4,1,4,4,5,4,5,5,5,6,6,5,6,6,5,6,6,5,0,,,,,5,5,6,5,4,5,0,,,5,0,,,1,5,0,,,1,0,5,6,2,,,,10,1,94207,US,3,5,2,4,2,2,2,1,1.6329600946,,127,BERKELEY,CA
448,281,180,9,TUE,79,F,3,2,1,1,UNITED,SANTA BARBARA,5647,28,59,1,1,15:00:00,12/31/1899 08:07:00 PM,6,,,3,,,,2,1,1,1,2,1,4,5,5,5,5,5,5,6,6,5,6,6,6,6,6,5,101,102,,,,5,6,6,5,5,5,0,,,5,4,,,2,,,,,11,5,5,6,2,,,,10,3,93463,US,10,6,1,1,2,2,2,1,1.6329600946,,307,SANTA BARBARA,CA
449,280,180,9,TUE,79,F,3,2,1,1,UNITED,SANTA BARBARA,5647,28,59,1,1,18:00:00,12/31/1899 08:07:00 PM,1,,,3,,,,2,2,1,2,4,1,2,4,4,5,4,3,5,6,6,5,4,6,5,6,4,4,12,74,71,,,5,5,5,3,4,4,7,,,5,1,2,,2,,,,,11,5,5,6,2,,,,8,3,93105,US,10,4,1,3,2,2,1,1,1.6329600946,,127,SANTA BARBARA,CA
450,279,180,9,TUE,79,F,3,2,1,1,UNITED,SANTA BARBARA,5647,28,59,1,1,4:30 PM,12/31/1899 08:07:00 PM,3,,,3,,,,2,2,1,2,2,1,4,5,4,4,5,5,3,6,6,6,6,6,6,6,6,5,1,14,,,,5,6,6,5,5,5,0,,,5,16,,,4,,,,,11,5,5,6,2,,,,9,3,93108,US,10,7,2,2,2,2,2,1,1.6329600946,,217,SANTA BARBARA,CA
451,1,178,9,TUE,76,F,3,2,1,1,UNITED,ST. LOUIS,5788,28,63,3,2,16:45:00,12/31/1899 06:40:00 PM,3,,,3,,,,2,2,1,1,1,1,2,4,4,3,5,5,5,6,6,5,6,6,6,6,6,4,102,14,,,,4,6,6,4,4,4,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,8,3,92101,US,10,3,2,2,2,2,2,1,1.6329600946,,115,SAN DIEGO,CA
452,2,178,9,TUE,76,F,3,2,1,1,UNITED,ST. LOUIS,5788,28,63,3,2,12:30 PM,12/31/1899 06:40:00 PM,2,,,5,,,,2,2,1,2,1,2,1,4,4,4,5,5,5,6,6,6,6,6,6,6,6,5,1,,,,,5,6,6,5,5,5,0,,,5,16,,,2,,,,,5,5,5,4,2,,,,8,3,62034,US,11,3,1,1,2,2,2,1,1.6329600946,,370,GLEN CARBON,IL
453,3,178,9,TUE,76,F,3,2,1,1,UNITED,ST. LOUIS,5788,28,63,3,2,16:00:00,12/31/1899 06:40:00 PM,5,,,5,,,,1,2,1,2,1,1,3,4,4,6,5,4,5,6,4,6,6,6,6,6,6,4,102,103,,,,5,6,6,4,4,4,0,,,5,2,,,2,,,,,5,4,5,5,2,,,,10,3,63017,US,11,5,1,4,2,2,2,1,1.6329600946,,160,ST. LOUIS,MO
454,4,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,2:45 PM,12/31/1899 06:40:00 PM,5,,,6,,,,2,2,1,1,1,2,1,3,4,3,4,4,5,6,6,5,6,6,5,6,6,5,0,,,,,5,5,6,5,5,5,0,,,5,0,,,2,,,,,5,5,4,5,2,,,,10,3,63112,US,11,2,1,1,2,2,2,1,1.6329600946,,235,ST. LOUIS,MO
455,5,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,4:30 PM,12/31/1899 06:40:00 PM,1,,,1,,,4,2,1,2,2,3,1,4,4,4,4,5,4,4,6,6,6,4,4,6,4,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,7,5,5,5,2,,,,10,1,94306,US,4,4,1,0,2,2,2,1,1.6329600946,,130,PALO ALTO,CA
456,6,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,5:45 PM,12/31/1899 06:40:00 PM,2,,,2,,,,2,2,1,1,2,1,1,6,3,6,5,5,5,6,6,5,6,6,6,6,6,4,101,103,,,,5,6,6,3,4,4,0,,,5,0,,,1,3,7,,,5,4,5,5,1,31,,,9,3,63122,US,11,5,2,2,2,2,2,1,1.6329600946,,55,KIRKWOOD,MO
457,7,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,N,12/31/1899 06:40:00 PM,1,,,5,,,,2,2,2,2,6,1,4,4,6,2,4,5,4,4,4,2,2,2,6,2,6,3,14,73,,,,4,6,6,6,3,3,8,,,5,0,,,1,5,0,,,7,5,5,5,2,,,,10,1,95070,US,4,5,1,4,1,1,2,1,1.6329600946,,,SARATOGA,CA
458,8,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,17:00:00,12/31/1899 06:40:00 PM,6,,,3,,,,1,0,0,0,2,1,1,3,4,4,2,3,4,4,3,4,6,6,6,6,6,4,56,6,,,,3,6,6,4,4,4,0,,,4,18,,,4,,,,,11,6,4,6,2,,,,8,3,63026,US,11,6,1,3,2,2,2,1,1.6329600946,,100,FENTON,MO
459,9,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,16:00:00,12/31/1899 06:40:00 PM,1,,,2,,,,2,1,2,1,1,1,2,6,6,4,4,4,4,6,6,5,6,6,6,6,6,3,201,,,,,3,0,0,0,3,3,0,,,5,0,,,2,,,,,5,4,5,4,2,,,,5,3,,UK,15,4,2,3,1,2,2,1,1.6329600946,,160,LONDON,
460,10,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,5:30 PM,12/31/1899 06:40:00 PM,2,,,3,,,,2,2,2,1,1,2,1,3,6,6,4,4,4,6,6,5,4,6,6,6,6,4,20,,,,,5,6,6,6,5,5,0,,,4,0,,,1,4,14,,,11,6,5,5,2,,,,10,3,65275,US,11,6,4,1,2,2,2,1,1.6329600946,,70,PARIS,MO
461,11,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,4:45 PM,12/31/1899 06:40:00 PM,1,,,2,,,,2,1,1,1,3,1,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,0,,,,,5,5,5,5,5,5,0,,,5,0,,,3,,,,,5,5,5,5,2,,,,10,1,94612,US,3,3,1,2,2,1,1,1,1.6329600946,,115,OAKLAND,CA
462,12,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,17:00:00,12/31/1899 06:40:00 PM,1,,,5,,,,2,0,0,0,6,1,2,4,3,4,5,3,4,4,4,5,5,2,3,2,3,3,102,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,3,5,4,2,,,,7,1,9414,US,1,3,1,4,1,1,1,1,1.6329600946,,100,SAN FRANCISCO,CA
463,13,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,4:15 PM,12/31/1899 06:40:00 PM,1,,,6,,,,2,1,1,1,1,1,2,4,4,4,4,4,4,5,4,5,6,6,6,6,6,4,210,,,,,5,5,6,5,5,5,0,,,4,0,,,1,5,0,,,5,5,4,5,1,43,,,8,3,63139,US,11,4,1,4,2,2,2,1,1.6329600946,,145,ST. LOIUS,MO
464,14,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,5:15 PM,12/31/1899 06:40:00 PM,3,6,,2,,,,2,1,2,1,2,1,2,3,4,3,4,3,3,4,3,5,4,3,6,6,6,3,206,,,,,3,6,6,4,3,4,0,,,4,0,,,4,,,,,11,3,3,1,1,32,,,5,3,63021,US,11,4,2,2,2,2,2,1,1.6329600946,,85,BALLUIN,MO
465,15,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,5:50 PM,12/31/1899 06:40:00 PM,2,,,2,,,,0,0,1,0,3,1,2,5,5,6,5,5,5,5,5,6,5,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,1,5,5,5,2,,,,10,3,,,99,3,2,2,2,2,2,1,1.6329600946,,50,,
466,16,178,9,TUE,76,F,3,2,1,2,UNITED,ST. LOUIS,5788,28,63,3,2,4:30 PM,12/31/1899 06:40:00 PM,1,,,5,,,,1,1,1,2,2,1,3,4,4,4,4,5,4,4,4,6,4,6,6,6,6,4,1,,,,,5,6,6,4,5,5,0,,,5,0,,,2,,,,,6,4,5,5,2,,,,10,3,,HONG KONG,16,4,1,1,2,2,2,1,1.6329600946,,130,,
467,232,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:45 PM,12/31/1899 03:50:00 PM,2,,,9,,,,1,2,2,2,1,1,4,4,4,4,5,5,5,5,5,5,0,0,5,5,5,Blank,0,,,,,5,5,5,5,5,5,0,,,5,0,,,0,,,,,4,5,5,5,2,,,,10,3,77057,US,11,6,4,2,2,2,4,1,1.1156485207,,65,HOUSTON,TX
468,231,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:30 PM,12/31/1899 03:50:00 PM,0,,,2,,,,2,2,2,2,6,1,2,3,3,3,3,6,3,3,3,3,3,3,1,1,1,Blank,0,,,,,4,2,2,4,4,4,0,,,4,0,,,2,,,,,0,0,0,0,0,,,,11,0,,,99,8,4,0,4,4,4,1,1.1156485207,,80,,
469,230,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,14:00:00,12/31/1899 03:50:00 PM,1,,,6,,,,2,2,1,1,3,1,2,4,2,2,4,4,4,4,4,4,0,0,5,0,0,4,8,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,10,3,90066,US,10,3,2,2,2,1,1,1,1.1156485207,,110,LOS ANGELES,CA
470,229,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:20 PM,12/31/1899 03:50:00 PM,2,,,2,,,,1,0,1,1,3,1,3,4,3,3,4,3,3,4,3,5,4,4,4,4,6,4,0,,,,,4,4,6,4,4,4,0,,,5,0,,,2,,,,,6,5,5,5,2,,,,10,1,,US,2,3,1,4,2,2,2,1,1.1156485207,,90,SAN MATEO,CA
471,228,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,14:00:00,12/31/1899 03:50:00 PM,3,,,2,,,,1,0,0,0,3,1,4,4,4,4,4,4,5,6,6,4,4,6,6,6,6,4,0,,,,,4,4,6,4,4,4,0,,,5,2,,,1,0,0,,,5,0,3,3,2,,,,9,0,,,99,7,2,0,4,1,1,1,1.1156485207,,110,,
472,227,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,14:00:00,12/31/1899 03:50:00 PM,1,,,1,,,4,2,2,2,1,6,1,4,5,3,3,5,5,5,5,5,5,5,5,6,5,6,4,109,,,,,4,6,6,4,4,4,1,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,1,94118,US,1,6,4,4,1,2,2,1,1.1156485207,,110,SAN FRANCISCO,CA
473,226,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:30 PM,12/31/1899 03:50:00 PM,3,,,9,,,,2,2,2,2,3,1,3,3,3,3,3,4,3,4,3,3,3,3,3,6,4,4,1,,,,,5,5,5,5,5,5,0,,,5,4,,,1,3,7,,,6,5,5,5,2,,,,10,3,90046,US,10,4,1,4,2,1,2,1,1.1156485207,,80,LOS ANGELES,CA
474,225,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:40 PM,12/31/1899 03:50:00 PM,3,,,2,,,,2,2,2,2,3,1,4,4,4,4,5,4,5,4,4,5,4,5,5,6,6,4,17,102,151,,,4,3,6,4,3,4,12,,,4,6,,,2,,,,,5,5,5,4,1,31,,,8,1,94131,US,1,3,2,4,3,2,1,1,1.1156485207,,70,SAN FRANCISCO,CA
475,224,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,1:10 PM,12/31/1899 03:50:00 PM,3,,,5,,,,0,1,1,1,3,1,4,4,2,3,3,4,4,6,6,4,3,3,3,4,2,3,0,,,,,5,5,4,5,5,5,0,,,5,4,,,1,5,1,,,5,5,5,5,2,,,,10,3,85749,US,10,6,1,4,2,2,2,1,1.1156485207,,160,TUCSON,AZ
476,223,120,6,SAT,25,B,2,2,1,2,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:50 PM,12/31/1899 03:50:00 PM,1,,,5,,,,2,2,2,2,5,1,2,4,4,3,5,4,4,6,6,5,5,6,5,6,6,5,0,,,,,5,5,6,5,5,5,0,,,5,0,,,1,3,4,,,5,5,5,5,2,,,,10,3,90015,US,10,3,2,4,3,1,1,1,1.1156485207,,60,LOS ANGELES,CA
477,222,120,6,SAT,25,B,2,2,1,1,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,13:00:00,12/31/1899 03:50:00 PM,2,,,3,,,,1,2,1,1,1,2,1,2,3,3,4,5,5,6,6,5,6,6,5,6,6,4,1,32,,,,4,5,6,6,6,5,0,,,4,6,,,1,5,1,,,11,0,5,5,2,,,,9,3,90278,US,10,6,2,4,2,2,1,1,1.1156485207,,170,LOS ANGELES,CA
478,221,120,6,SAT,25,B,2,2,1,1,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,13:00:00,12/31/1899 03:50:00 PM,2,,,5,,,,1,2,1,1,1,2,1,3,4,3,4,4,5,6,5,5,4,6,6,6,6,4,1,,,,,4,6,6,4,4,4,0,,,4,8,,,2,,,,,5,5,5,5,2,,,,10,3,,AUSTRALIA,19,3,2,4,2,2,2,1,1.1156485207,,170,SYDNEY,
479,220,120,6,SAT,25,B,2,2,1,1,SOUTHWEST,LOS ANGELES,4305,25,34,1,4,2:10 PM,12/31/1899 03:50:00 PM,2,,,2,,,,1,2,2,2,3,1,4,4,4,4,5,5,5,4,4,4,5,5,6,6,6,5,0,,,,,5,6,6,0,5,5,0,,,5,9,,,2,,,,,6,0,5,5,2,,,,10,1,94404,US,2,5,2,3,2,2,2,1,1.1156485207,,100,FOSTER CITY,CA
480,260,121,6,SAT,28,B,3,2,1,2,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,16:00:00,12/31/1899 05:30:00 PM,2,,,5,,,,0,0,0,0,3,1,2,2,2,2,4,3,1,3,3,3,6,6,6,6,6,3,0,,,,,3,6,1,3,3,3,0,,,3,0,,,1,3,0,,,5,3,3,3,2,,,,4,3,,US,10,4,2,2,2,1,1,1,1.1156485207,,90,LOS ANGELES,CA
481,259,121,6,SAT,28,B,3,2,1,2,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,16:00:00,12/31/1899 05:30:00 PM,2,,,5,,,,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,2,6,6,6,3,3,0,,,3,0,,,2,,,,,5,3,4,4,2,,,,5,1,94104,US,1,3,2,3,2,1,1,1,1.1156485207,,90,SAN FRANCISCO,CA
482,258,121,6,SAT,28,B,3,2,1,2,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,2:15 PM,12/31/1899 05:30:00 PM,1,,,5,,,,1,1,1,0,2,1,4,2,2,3,4,5,5,5,5,4,4,4,5,5,5,4,5,,,,,4,5,4,2,4,4,0,,,4,6,,,2,,,,,5,5,4,3,2,,,,7,3,90069,US,10,4,2,3,2,2,1,1,1.1156485207,,195,WEST HOLLYWOOD,CA
483,257,121,6,SAT,28,B,3,2,1,2,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,4:30 PM,12/31/1899 05:30:00 PM,1,,,5,,,,2,2,2,1,3,2,4,6,5,4,3,4,3,3,3,5,4,6,4,6,6,4,0,,,,,4,4,6,4,4,4,12,,,4,0,,,1,5,0,,,5,5,5,5,2,,,,9,3,90026,US,10,4,2,4,2,1,1,1,1.1156485207,,60,LOS ANGELES,CA
484,256,121,6,SAT,28,B,3,2,1,2,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,4:30 PM,12/31/1899 05:30:00 PM,3,,,2,,,,1,1,2,1,2,1,4,5,4,3,0,5,5,4,4,5,5,5,5,5,5,5,1,,,,,5,5,4,5,5,5,1,,,5,0,,,1,3,0,,,3,1,5,5,2,,,,10,3,,NEW ZEALAND,19,1,2,1,2,2,2,1,1.1156485207,,60,,
485,255,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,15:00:00,12/31/1899 05:30:00 PM,1,,,5,,,,1,2,1,1,1,2,1,4,3,3,4,5,5,6,5,5,6,6,5,6,6,4,102,151,,,,5,5,6,6,4,5,0,,,5,1,3,,2,,,,,6,5,5,5,2,,,,10,3,91207,US,10,3,1,2,2,2,2,1,1.1156485207,,150,LOS ANGELES,CA
486,254,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,16:05:00,12/31/1899 05:30:00 PM,3,,,6,,,,1,2,2,1,2,1,4,6,4,6,5,5,5,6,6,4,5,6,5,6,6,4,0,,,,,5,5,6,6,4,5,0,,,5,16,,,2,,,,,2,5,5,5,2,,,,9,1,94531,US,5,2,1,3,2,1,1,1,1.1156485207,,85,ANTIOCH,CA
487,253,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,16:00:00,12/31/1899 05:30:00 PM,2,,,4,,,,2,2,1,1,1,2,1,6,3,6,5,5,6,5,5,5,6,6,6,6,6,4,1,,,,,5,6,6,4,4,4,0,,,5,2,,,2,,,,,5,4,5,5,2,,,,9,3,,JORDAN,17,4,2,0,3,2,2,1,1.1156485207,,90,AMMAN,
488,252,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,15:00:00,12/31/1899 05:30:00 PM,1,,,5,,,,1,1,1,1,2,1,1,5,2,3,5,6,4,4,4,5,6,6,6,6,6,4,104,,,,,5,6,6,4,4,4,0,,,5,15,,,2,,,,,6,5,5,4,2,,,,10,3,90027,US,10,2,1,1,2,2,2,1,1.1156485207,,150,LOS ANGELES,CA
489,278,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,4:45 PM,12/31/1899 06:40:00 PM,2,,,9,,,,2,2,1,2,1,2,1,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,4,5,5,5,2,,,,10,3,91335,US,10,4,2,2,2,2,2,1,1.4778779661,,115,LOS ANGELES,CA
490,277,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:10 PM,12/31/1899 06:40:00 PM,1,,,5,,,,2,2,1,1,4,1,4,5,5,4,5,5,5,6,6,4,4,4,4,4,4,5,204,201,,,,5,5,5,5,5,5,0,,,5,16,,,1,5,1,,,5,4,5,5,2,,,,10,1,94122,US,1,5,2,4,2,2,1,1,1.4778779661,,90,SAN FRANCISCO,CA
491,276,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,12/31/1899 06:40:00 PM,1,,,9,,,,2,1,2,1,6,1,4,5,5,5,5,5,4,5,5,5,5,6,4,6,3,5,0,,,,,5,3,4,4,5,4,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,98122,US,10,4,1,4,2,1,1,1,1.4778779661,,70,SEATTLE,WA
492,275,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,4:45 PM,12/31/1899 06:40:00 PM,2,,,9,,,,2,2,1,2,1,1,3,3,5,5,4,5,5,4,4,5,4,5,5,4,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,4,3,5,5,2,,,,9,3,93036,US,10,4,2,3,2,2,1,1,1.4778779661,,115,OXNARD,CA
493,274,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,17:00:00,12/31/1899 06:40:00 PM,1,,,1,,,1,2,1,1,2,5,1,3,4,4,4,5,5,4,6,6,2,3,1,6,1,6,4,75,7,,,,5,6,6,5,5,5,0,,,5,16,,,2,,,,,6,5,5,5,2,,,,10,1,94114,US,1,3,1,4,2,1,1,1,1.4778779661,,100,SAN FRANCISCO,CA
494,273,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,12/31/1899 06:40:00 PM,1,,,2,,,,0,0,2,2,4,1,4,5,5,4,5,5,4,6,6,5,5,3,6,6,6,5,14,,,,,3,0,0,0,3,3,0,,,3,6,,,1,5,2,,,5,5,5,5,2,,,,10,1,94133,US,1,5,2,4,2,4,1,1,1.4778779661,,70,SAN FRANCISCO,CA
495,272,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,16:00:00,12/31/1899 06:40:00 PM,1,,,5,,,,2,1,2,1,3,1,1,3,3,3,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,6,6,6,4,5,5,1,,,5,1,3,,2,,,,,7,2,5,5,2,,,,7,3,,THE NETHERLANDS,15,5,2,4,1,1,2,1,1.4778779661,,160,AMSTERDAM,
